36,37,38,39,40,41,42
1,0,1,1,0,0,1
1,1,0,1,1,0,1
1,1,1,1,1,0,1
1,1,1,1,0,0,1
0,1,1,1,1,1,1
1,1,1,1,0,1,1
1,1,0,1,0,0,1
0,0,1,1,0,0,0
1,1,0,1,1,0,0
1,1,0,1,1,1,1
1,1,1,1,1,1,0
1,1,0,1,0,1,0
1,1,1,1,0,1,0
1,0,1,1,0,1,0
1,1,0,1,1,0,1
1,1,0,1,0,1,0
1,1,0,1,0,0,0
1,1,0,1,1,1,1
1,1,0,1,1,1,1
1,0,0,1,1,0,1
1,1,1,1,1,1,1
1,1,1,1,1,0,1
1,1,1,1,1,0,0
0,0,0,0,0,0,0
1,1,1,1,1,0,1
1,1,1,1,0,1,1
1,1,1,0,0,0,0
1,0,1,1,1,0,1
1,1,1,1,0,0,1
1,1,0,1,0,0,0
1,1,1,1,0,1,0
1,0,1,1,0,0,1
1,0,1,1,1,1,0
1,1,1,1,1,0,1
1,0,1,1,0,1,1
1,1,1,1,0,0,0
1,1,0,1,0,0,0
1,1,1,1,1,1,0
1,1,0,1,0,1,0
1,1,1,1,1,1,0
1,1,1,1,1,0,0
1,0,1,1,0,0,1
1,0,1,1,1,1,1
1,1,1,1,1,0,0
1,1,1,1,0,0,1
1,1,1,1,1,0,0
1,1,0,1,0,0,0
1,1,0,1,1,1,0
1,1,1,1,1,1,0
1,1,0,1,0,1,1
1,0,1,1,0,1,1
1,0,0,1,0,0,0
1,1,1,1,1,1,1
0,1,1,1,1,0,0
1,1,1,1,1,1,0
1,0,1,1,1,1,0
0,0,1,1,1,1,0
1,0,0,1,1,1,0
1,0,0,1,1,0,1
1,1,1,1,0,1,1
1,1,1,0,1,1,0
1,1,1,1,1,1,0
1,1,0,1,1,1,1
1,1,1,1,0,0,1
1,1,0,1,1,1,0
1,0,0,1,0,0,1
1,1,1,1,0,0,0
0,1,1,1,0,1,0
1,1,1,1,1,1,0
1,0,0,0,0,0,0
0,1,1,1,1,1,1
1,1,0,1,0,0,0
1,1,1,1,0,0,0
1,1,1,1,0,0,0
1,0,1,0,1,1,1
1,1,1,1,0,1,0
1,1,1,1,1,0,0
1,0,1,1,0,1,0
1,1,0,1,0,1,0
0,1,1,1,1,1,0
1,1,1,1,0,1,0
0,1,0,1,0,0,0
1,1,1,0,0,0,0
1,1,0,1,1,1,1
1,1,1,1,1,0,1
1,1,1,0,0,0,0
1,1,1,1,0,1,1
1,0,1,1,0,1,0
1,1,0,1,1,0,1
1,1,0,1,0,0,0
1,1,0,1,0,1,0
0,1,0,1,0,1,1
1,0,1,1,1,1,1
1,1,1,1,0,1,1
1,0,0,1,1,1,1
0,1,0,1,0,1,1
1,1,0,1,1,1,1
1,0,1,1,1,1,0
1,1,1,1,1,1,1
0,1,1,1,1,1,1
1,1,1,1,1,0,1
1,1,1,1,0,0,0
1,1,1,1,1,0,1
1,1,0,1,1,1,1
1,1,1,1,1,0,0
0,1,1,0,0,0,0
1,1,1,1,0,0,1
1,0,0,1,0,1,1
1,1,1,1,0,0,0
1,0,1,1,1,0,1
1,0,0,1,1,0,1
0,1,0,1,1,0,0
1,0,1,1,1,1,0
1,1,0,1,0,1,1
1,1,1,1,1,1,1
1,1,1,0,0,0,0
1,1,1,1,1,0,1
1,0,1,1,1,1,0
1,1,0,1,1,0,0
1,0,1,1,1,0,0
1,1,1,1,1,1,0
1,1,1,0,0,0,0
1,0,0,1,1,1,1
1,1,1,1,0,0,1
1,1,0,1,0,1,1
